Country,Region,GovInterference,TariffRate,IncomeTaxRate,CorporateTaxRate,TaxBurden,GovSpending,Population,GDP ,GDPGrowth,GDPperCap,Unemployment,Inflation,PublicDebt
Afghanistan,Asia-Pacific,Repressive,7,20,20,5,25.6,35.5,$69.60 ,2.5,"$1,958 ",8.8,5,7.3
Albania,Europe,Moderate,1.1,23,15,24.9,29.5,2.9,$36.00 ,3.9,"$12,507 ",13.9,2,71.2
Algeria,Middle East and North Africa,Extensive,8.8,35,23,24.5,41.4,41.5,$632.90 ,2,"$15,237 ",10,5.6,25.8
Angola,Sub-Saharan Africa,Extensive,9.4,17,30,20.6,25.3,28.2,$190.30 ,0.7,"$6,753 ",8.2,31.7,65.3
Argentina,Americas,Moderate,7.5,35,30,30.8,41,44.1,$920.20 ,2.9,"$20,876 ",8.7,25.7,52.6
Armenia,Europe,Moderate,2.1,26,20,21.3,26.4,3,$28.30 ,7.5,"$9,456 ",18.2,0.9,53.5
Australia,Asia-Pacific,Limited,1.2,45,30,28.2,36.5,24.8,"$1,246.50 ",2.3,"$50,334 ",5.6,2,41.6
Austria,Europe,Moderate,2,50,25,42.7,50.2,8.8,$439.60 ,2.9,"$49,869 ",5.5,2.2,78.8
Azerbaijan,Asia-Pacific,Moderate,5.2,25,20,15,36.7,9.8,$171.80 ,0.1,"$17,492 ",5,13,54.7
Bahamas,Americas,Moderate,18.6,0,0,16.3,21,0.4,$11.60 ,1.3,"$31,139 ",12.6,1.4,57.2
Bahrain,Middle East and North Africa,Limited,3.1,0,0,5.6,35.3,1.5,$70.40 ,3.2,"$48,505 ",1.2,1.4,90.3
Bangladesh,Asia-Pacific,Extensive,10.7,25,45,8.8,13.6,163.2,$687.10 ,7.1,"$4,211 ",4.4,5.7,32.4
Barbados,Americas,Moderate,14.2,35,25,33.7,34.1,0.3,$5.20 ,0.9,"$18,664 ",9.7,4.4,132.9
Belarus,Europe,Repressive,1.8,13,18,23.8,44.2,9.5,$178.90 ,2.4,"$18,931 ",0.5,6,51
Belgium,Europe,Moderate,2,50,29,44.2,53.2,11.4,$528.50 ,1.7,"$46,553 ",7.4,2.2,103.2
Belize,Americas,Moderate,10.5,25,25,27.6,33.7,0.4,$3.20 ,0.8,"$8,324 ",9.3,1.1,99
Benin,Sub-Saharan Africa,Moderate,11.6,45,30,11.9,23.5,11.1,$25.30 ,5.6,"$2,277 ",2.5,0.1,54.6
Bhutan,Asia-Pacific,Extensive,2.8,25,30,13.4,30.7,0.8,$7.00 ,6,"$8,744 ",2.4,3.4,102.4
